Date,Maximum,Minimum,Average
2016-01-01,45,28,36.5
2016-01-02,47,26,36.5
2016-01-03,52,26,39
2016-01-04,37,16,26.5
2016-01-05,33,13,23
2016-01-06,41,12,26.5
2016-01-07,42,27,34.5
2016-01-08,43,38,40.5
2016-01-09,51,41,46
2016-01-10,63,36,49.5
2016-01-11,37,23,30
2016-01-12,46,22,34
2016-01-13,28,19,23.5
2016-01-14,51,21,36
2016-01-15,50,27,38.5
2016-01-16,55,34,44.5
2016-01-17,37,28,32.5
2016-01-18,31,14,22.5
2016-01-19,27,13,20
2016-01-20,30,15,22.5
2016-01-21,34,18,26
2016-01-22,28,19,23.5
2016-01-23,28,22,25
2016-01-24,34,14,24
2016-01-25,38,8,23
2016-01-26,52,19,35.5
2016-01-27,44,24,34
2016-01-28,42,17,29.5
2016-01-29,41,25,33
2016-01-30,43,18,30.5
2016-01-31,61,25,43
2016-02-01,56,41,48.5
2016-02-02,49,30,39.5
2016-02-03,54,40,47
2016-02-04,54,40,47
2016-02-05,42,26,34
2016-02-06,44,22,33
2016-02-07,45,22,33.5
2016-02-08,47,25,36
2016-02-09,39,30,34.5
2016-02-10,36,23,29.5
2016-02-11,27,18,22.5
2016-02-12,30,13,21.5
2016-02-13,26,13,19.5
2016-02-14,24,7,15.5
2016-02-15,30,19,24.5
2016-02-16,48,30,39
2016-02-17,47,26,36.5
2016-02-18,39,23,31
2016-02-19,43,18,30.5
2016-02-20,67,42,54.5
2016-02-21,56,44,50
2016-02-22,53,37,45
2016-02-23,43,38,40.5
2016-02-24,58,38,48
2016-02-25,53,38,45.5
2016-02-26,38,28,33
2016-02-27,47,24,35.5
2016-02-28,66,29,47.5
2016-02-29,62,35,48.5
2016-03-01,66,30,48
2016-03-02,61,25,43
2016-03-03,41,22,31.5
2016-03-04,40,32,36
2016-03-05,45,35,40
2016-03-06,51,29,40
2016-03-07,66,29,47.5
2016-03-08,78,40,59
2016-03-09,82,39,60.5
2016-03-10,80,59,69.5
2016-03-11,72,47,59.5
2016-03-12,63,40,51.5
2016-03-13,61,48,54.5
2016-03-14,53,47,50
2016-03-15,63,45,54
2016-03-16,75,42,58.5
2016-03-17,67,39,53
2016-03-18,65,36,50.5
2016-03-19,51,35,43
2016-03-20,44,36,40
2016-03-21,52,30,41
2016-03-22,62,26,44
2016-03-23,74,49,61.5
2016-03-24,77,42,59.5
2016-03-25,71,47,59
2016-03-26,61,37,49
2016-03-27,56,43,49.5
2016-03-28,68,48,58
2016-03-29,59,37,48
2016-03-30,65,27,46
2016-03-31,72,53,62.5
2016-04-01,82,64,73
2016-04-02,65,42,53.5
2016-04-03,53,34,43.5
2016-04-04,72,38,55
2016-04-05,45,27,36
2016-04-06,57,24,40.5
2016-04-07,62,44,53
2016-04-08,51,34,42.5
2016-04-09,46,32,39
2016-04-10,53,25,39
2016-04-11,74,45,59.5
2016-04-12,67,46,56.5
2016-04-13,59,34,46.5
2016-04-14,64,31,47.5
2016-04-15,64,34,49
2016-04-16,71,34,52.5
2016-04-17,74,38,56
2016-04-18,83,42,62.5
2016-04-19,82,47,64.5
2016-04-20,71,40,55.5
2016-04-21,75,48,61.5
2016-04-22,71,62,66.5
2016-04-23,70,53,61.5
2016-04-24,69,44,56.5
2016-04-25,80,47,63.5
2016-04-26,84,62,73
2016-04-27,69,53,61
2016-04-28,54,47,50.5
2016-04-29,55,46,50.5
2016-04-30,56,51,53.5
2016-05-01,59,51,55
2016-05-02,80,54,67
2016-05-03,71,57,64
2016-05-04,62,53,57.5
2016-05-05,57,50,53.5
2016-05-06,54,50,52
2016-05-07,65,49,57
2016-05-08,71,45,58
2016-05-09,63,42,52.5
2016-05-10,63,54,58.5
2016-05-11,60,54,57
2016-05-12,67,57,62
2016-05-13,77,56,66.5
2016-05-14,75,46,60.5
2016-05-15,59,37,48
2016-05-16,66,36,51
2016-05-17,56,50,53
2016-05-18,65,52,58.5
2016-05-19,72,50,61
2016-05-20,77,45,61
2016-05-21,62,53,57.5
2016-05-22,57,52,54.5
2016-05-23,75,54,64.5
2016-05-24,82,52,67
2016-05-25,86,52,69
2016-05-26,89,56,72.5
2016-05-27,89,67,78
2016-05-28,89,69,79
2016-05-29,84,64,74
2016-05-30,83,63,73
2016-05-31,88,67,77.5
2016-06-01,87,63,75
2016-06-02,82,62,72
2016-06-03,86,70,78
2016-06-04,82,70,76
2016-06-05,84,68,76
2016-06-06,85,63,74
2016-06-07,85,63,74
2016-06-08,71,55,63
2016-06-09,80,47,63.5
2016-06-10,81,56,68.5
2016-06-11,95,59,77
2016-06-12,91,68,79.5
2016-06-13,80,60,70
2016-06-14,80,61,70.5
2016-06-15,81,64,72.5
2016-06-16,85,68,76.5
2016-06-17,80,63,71.5
2016-06-18,84,59,71.5
2016-06-19,87,57,72
2016-06-20,89,57,73
2016-06-21,87,68,77.5
2016-06-22,84,65,74.5
2016-06-23,79,67,73
2016-06-24,85,65,75
2016-06-25,83,64,73.5
2016-06-26,85,60,72.5
2016-06-27,86,64,75
2016-06-28,89,66,77.5
2016-06-29,81,60,70.5
2016-06-30,83,56,69.5
2016-07-01,88,63,75.5
2016-07-02,80,67,73.5
2016-07-03,73,63,68
2016-07-04,72,66,69
2016-07-05,90,71,80.5
2016-07-06,91,72,81.5
2016-07-07,90,72,81
2016-07-08,89,70,79.5
2016-07-09,91,72,81.5
2016-07-10,85,66,75.5
2016-07-11,87,62,74.5
2016-07-12,86,65,75.5
2016-07-13,92,74,83
2016-07-14,95,71,83
2016-07-15,91,70,80.5
2016-07-16,92,67,79.5
2016-07-17,90,65,77.5
2016-07-18,95,70,82.5
2016-07-19,91,70,80.5
2016-07-20,86,67,76.5
2016-07-21,90,60,75
2016-07-22,94,67,80.5
2016-07-23,98,71,84.5
2016-07-24,97,71,84
2016-07-25,100,74,87
2016-07-26,95,76,85.5
2016-07-27,94,75,84.5
2016-07-28,92,74,83
2016-07-29,90,72,81
2016-07-30,88,71,79.5
2016-07-31,90,72,81
2016-08-01,90,72,81
2016-08-02,88,70,79
2016-08-03,82,69,75.5
2016-08-04,84,64,74
2016-08-05,80,68,74
2016-08-06,91,74,82.5
2016-08-07,89,64,76.5
2016-08-08,88,62,75
2016-08-09,78,61,69.5
2016-08-10,93,75,84
2016-08-11,95,75,85
2016-08-12,96,77,86.5
2016-08-13,99,78,88.5
2016-08-14,97,76,86.5
2016-08-15,96,70,83
2016-08-16,96,72,84
2016-08-17,94,70,82
2016-08-18,90,72,81
2016-08-19,89,67,78
2016-08-20,90,65,77.5
2016-08-21,90,69,79.5
2016-08-22,85,63,74
2016-08-23,85,61,73
2016-08-24,87,62,74.5
2016-08-25,91,67,79
2016-08-26,95,73,84
2016-08-27,92,69,80.5
2016-08-28,91,65,78
2016-08-29,94,66,80
2016-08-30,91,67,79
2016-08-31,92,64,78
2016-09-01,84,68,76
2016-09-02,80,63,71.5
2016-09-03,80,63,71.5
2016-09-04,82,58,70
2016-09-05,88,54,71
2016-09-06,93,63,78
2016-09-07,94,67,80.5
2016-09-08,96,72,84
2016-09-09,98,74,86
2016-09-10,96,72,84
2016-09-11,84,67,75.5
2016-09-12,84,62,73
2016-09-13,90,62,76
2016-09-14,93,62,77.5
2016-09-15,77,67,72
2016-09-16,77,65,71
2016-09-17,82,67,74.5
2016-09-18,89,70,79.5
2016-09-19,76,69,72.5
2016-09-20,81,68,74.5
2016-09-21,84,66,75
2016-09-22,87,60,73.5
2016-09-23,91,56,73.5
2016-09-24,76,56,66
2016-09-25,74,54,64
2016-09-26,68,58,63
2016-09-27,77,58,67.5
2016-09-28,68,62,65
2016-09-29,68,62,65
2016-09-30,64,60,62
2016-10-01,65,61,63
2016-10-02,75,61,68
2016-10-03,76,55,65.5
2016-10-04,75,53,64
2016-10-05,71,51,61
2016-10-06,71,49,60
2016-10-07,70,58,64
2016-10-08,66,62,64
2016-10-09,67,53,60
2016-10-10,65,41,53
2016-10-11,66,37,51.5
2016-10-12,69,39,54
2016-10-13,73,43,58
2016-10-14,64,38,51
2016-10-15,67,36,51.5
2016-10-16,75,46,60.5
2016-10-17,84,51,67.5
2016-10-18,85,56,70.5
2016-10-19,87,64,75.5
2016-10-20,83,65,74
2016-10-21,76,55,65.5
2016-10-22,58,47,52.5
2016-10-23,70,43,56.5
2016-10-24,70,49,59.5
2016-10-25,62,36,49
2016-10-26,58,30,44
2016-10-27,62,44,53
2016-10-28,61,38,49.5
2016-10-29,76,37,56.5
2016-10-30,84,56,70
2016-10-31,60,40,50
2016-11-01,60,37,48.5
2016-11-02,78,52,65
2016-11-03,79,55,67
2016-11-04,62,38,50
2016-11-05,66,34,50
2016-11-06,67,38,52.5
2016-11-07,62,34,48
2016-11-08,69,28,48.5
2016-11-09,64,49,56.5
2016-11-10,61,41,51
2016-11-11,64,35,49.5
2016-11-12,52,26,39
2016-11-13,64,23,43.5
2016-11-14,57,25,41
2016-11-15,63,38,50.5
2016-11-16,64,30,47
2016-11-17,61,31,46
2016-11-18,73,30,51.5
2016-11-19,70,35,52.5
2016-11-20,45,34,39.5
2016-11-21,43,32,37.5
2016-11-22,48,26,37
2016-11-23,50,20,35
2016-11-24,59,33,46
2016-11-25,59,33,46
2016-11-26,50,33,41.5
2016-11-27,52,28,40
2016-11-28,52,23,37.5
2016-11-29,57,46,51.5
2016-11-30,65,54,59.5
2016-12-01,58,44,51
2016-12-02,51,41,46
2016-12-03,48,38,43
2016-12-04,45,30,37.5
2016-12-05,55,38,46.5
2016-12-06,41,38,39.5
2016-12-07,50,29,39.5
2016-12-08,48,29,38.5
2016-12-09,37,26,31.5
2016-12-10,35,22,28.5
2016-12-11,40,22,31
2016-12-12,53,40,46.5
2016-12-13,46,32,39
2016-12-14,45,30,37.5
2016-12-15,34,11,22.5
2016-12-16,27,9,18
2016-12-17,52,25,38.5
2016-12-18,63,33,48
2016-12-19,35,28,31.5
2016-12-20,37,17,27
2016-12-21,48,19,33.5
2016-12-22,57,29,43
2016-12-23,46,26,36
2016-12-24,47,32,39.5
2016-12-25,51,32,41.5
2016-12-26,48,39,43.5
2016-12-27,67,41,54
2016-12-28,50,31,40.5
2016-12-29,51,31,41
2016-12-30,41,27,34
2016-12-31,47,24,35.5
